"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49421";"172.172.255.216";"443";"4880";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49669";"142.251.134.206";"80";"17300";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50136";"162.43.190.127";"443";"3632";"AnyDesk";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"50137";"20.209.184.129";"443";"21236";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"50138";"150.171.110.40";"443";"10568";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50577";"142.251.0.84";"443";"17300";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50579";"52.110.14.65";"443";"21236";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50580";"4.150.223.104";"443";"21236";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"50582";"20.190.173.68";"443";"25832";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50583";"4.152.89.97";"443";"21236";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"50584";"13.107.137.11";"443";"21236";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50587";"52.104.152.39";"443";"21236";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50589";"150.171.22.11";"443";"21236";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50593";"181.30.145.99";"443";"13264";"Widgets";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50595";"20.161.205.129";"443";"5984";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50597";"72.152.144.125";"443";"11112";"taskhostw";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50598";"2.18.58.25";"443";"20620";"WindowsPackageManagerServer";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50607";"40.79.163.154";"443";"22144";"olk";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"50609";"40.79.163.154";"443";"22692";"OneDrive.Sync.Service";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"52600";"8.8.4.4";"443";"17300";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54260";"142.251.128.46";"443";"17300";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57920";"216.239.38.223";"443";"17300";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57921";"142.251.129.67";"80";"4536";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57924";"92.223.118.254";"80";"4536";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57926";"142.251.129.67";"80";"4536";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57928";"40.79.167.9";"443";"22692";"OneDrive.Sync.Service";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57929";"40.79.167.9";"443";"22692";"OneDrive.Sync.Service";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"58631";"20.135.6.7";"443";"21236";"OneDrive";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"135";"0.0.0.0";"0";"1860";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"445";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49664";"0.0.0.0";"0";"1544";"lsass";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49665";"0.0.0.0";"0";"1368";"wininit";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49666";"0.0.0.0";"0";"2408";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49667";"0.0.0.0";"0";"3268";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49668";"0.0.0.0";"0";"4408";"spoolsv";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49671";"0.0.0.0";"0";"1516";"services";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"5040";"0.0.0.0";"0";"10568";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"5357";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"7070";"0.0.0.0";"0";"3632";"AnyDesk";"OBSERVACION"
"TCP";"LISTENING";"192.168.100.8";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"192.168.56.1";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"26.137.80.247";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
