"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.19.162";"49420";"172.172.255.218";"443";"5268";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.162";"50305";"152.236.18.109";"443";"14256";"AnyDesk";"BASE"
"TCP";"ESTABLISHED";"172.19.19.162";"50306";"172.19.19.15";"7070";"14256";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50313";"20.42.65.91";"443";"9476";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50319";"200.42.122.9";"443";"5300";"mc-fw-host";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50321";"161.69.232.173";"443";"5300";"mc-fw-host";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.162";"50324";"142.251.129.163";"80";"4600";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.162";"50325";"151.101.218.172";"80";"4600";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50327";"4.160.58.169";"443";"5508";"MsMpEng";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50331";"161.69.233.227";"443";"5300";"mc-fw-host";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.162";"50339";"161.69.237.70";"443";"5300";"mc-fw-host";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.162";"50344";"2.18.57.23";"443";"23168";"LenovoVantage-(LenovoSecurityAddin)";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50350";"3.160.119.100";"443";"25640";"ConfigServiceAgent";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"50719";"172.172.255.218";"443";"9476";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.19.162";"51486";"52.97.28.178";"443";"20424";"msedge";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"55420";"142.251.128.138";"443";"13936";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.19.162";"57792";"52.97.51.146";"443";"20424";"msedge";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"58268";"172.19.19.136";"8009";"13936";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"60661";"8.8.4.4";"443";"20424";"msedge";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"62292";"189.1.174.38";"443";"14256";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"63517";"40.126.45.20";"443";"19916";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.162";"64693";"64.233.186.188";"5228";"13936";"chrome";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"135";"0.0.0.0";"0";"1832";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"445";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49664";"0.0.0.0";"0";"1516";"lsass";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49665";"0.0.0.0";"0";"1336";"wininit";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49666";"0.0.0.0";"0";"2432";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49667";"0.0.0.0";"0";"3304";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49668";"0.0.0.0";"0";"4552";"spoolsv";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"49670";"0.0.0.0";"0";"1488";"services";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"50305";"0.0.0.0";"0";"14256";"AnyDesk";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"5040";"0.0.0.0";"0";"11784";"svchost";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"7070";"0.0.0.0";"0";"14256";"AnyDesk";"OBSERVACION"
"TCP";"LISTENING";"0.0.0.0";"7680";"0.0.0.0";"0";"19164";"svchost";"OBSERVACION"
"TCP";"LISTENING";"127.0.0.1";"5939";"0.0.0.0";"0";"5932";"TeamViewer_Service";"OBSERVACION"
"TCP";"LISTENING";"172.19.19.162";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"192.168.56.1";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
"TCP";"LISTENING";"26.137.80.247";"139";"0.0.0.0";"0";"4";"System";"OBSERVACION"
